mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nb__alpha,param_tfidf__max_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.31361942291259765,0.04168022304383663,0.06637029647827149,0.054891294313575284,0.1,0.25,"(1, 1)","{'nb__alpha': 0.1, 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 1)}",0.8672014260249554,0.8698752228163993,0.8707664884135472,0.8636363636363636,0.8786797502230151,0.8700318502228562,0.004985257258085939,7
0.8485926628112793,0.19221742388270993,0.17490749359130858,0.08233355144184341,0.1,0.25,"(1, 2)","{'nb__alpha': 0.1, 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 2)}",0.8761140819964349,0.8805704099821747,0.8743315508021391,0.875222816399287,0.8840321141837645,0.87805419467276,0.003679828220859901,1
1.0667008399963378,0.213168680420521,0.15878028869628907,0.034548349781559996,0.1,0.25,"(1, 3)","{'nb__alpha': 0.1, 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 3)}",0.8778966131907309,0.8796791443850267,0.8743315508021391,0.875222816399287,0.8795718108831401,0.8773403871320646,0.0022043423845710453,4
0.30276904106140134,0.02334264335655571,0.07057266235351563,0.019254073104132557,0.1,0.5,"(1, 1)","{'nb__alpha': 0.1, 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 1)}",0.8672014260249554,0.8698752228163993,0.8707664884135472,0.8636363636363636,0.8786797502230151,0.8700318502228562,0.004985257258085939,7
0.5644421577453613,0.03289779119314564,0.09619359970092774,0.02577245067896699,0.1,0.5,"(1, 2)","{'nb__alpha': 0.1, 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 2)}",0.8761140819964349,0.8805704099821747,0.8743315508021391,0.875222816399287,0.8840321141837645,0.87805419467276,0.003679828220859901,1
0.6071783065795898,0.08397957793739216,0.07779135704040527,0.01879116129820635,0.1,0.5,"(1, 3)","{'nb__alpha': 0.1, 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 3)}",0.8778966131907309,0.8796791443850267,0.8743315508021391,0.875222816399287,0.8795718108831401,0.8773403871320646,0.0022043423845710453,4
0.1780318260192871,0.04377069763185504,0.04726753234863281,0.01171477962760472,0.1,0.75,"(1, 1)","{'nb__alpha': 0.1, 'tfidf__max_df': 0.75, 'tfidf__ngram_range': (1, 1)}",0.8672014260249554,0.8698752228163993,0.8707664884135472,0.8636363636363636,0.8786797502230151,0.8700318502228562,0.004985257258085939,7
0.40155801773071287,0.03498760635242518,0.09306197166442871,0.02032806575704101,0.1,0.75,"(1, 2)","{'nb__alpha': 0.1, 'tfidf__max_df': 0.75, 'tfidf__ngram_range': (1, 2)}",0.8761140819964349,0.8805704099821747,0.8743315508021391,0.875222816399287,0.8840321141837645,0.87805419467276,0.003679828220859901,1
0.47257723808288576,0.03749334896852527,0.07563624382019044,0.010569664459444133,0.1,0.75,"(1, 3)","{'nb__alpha': 0.1, 'tfidf__max_df': 0.75, 'tfidf__ngram_range': (1, 3)}",0.8778966131907309,0.8796791443850267,0.8743315508021391,0.875222816399287,0.8795718108831401,0.8773403871320646,0.0022043423845710453,4
0.15523509979248046,0.01200135770443265,0.04979076385498047,0.011016704044800056,0.5,0.25,"(1, 1)","{'nb__alpha': 0.5, 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 1)}",0.8654188948306596,0.8716577540106952,0.8672014260249554,0.8636363636363636,0.8777876895628903,0.8691404256131129,0.005079691429406201,10
0.34584789276123046,0.03954389442180272,0.059548234939575194,0.012242389066437234,0.5,0.25,"(1, 2)","{'nb__alpha': 0.5, 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 2)}",0.8627450980392157,0.8761140819964349,0.8627450980392157,0.85650623885918,0.8688670829616414,0.8653955199791377,0.006633371887796023,13
0.29555134773254393,0.04464557419765562,0.03854455947875977,0.006272842633938705,0.5,0.25,"(1, 3)","{'nb__alpha': 0.5, 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 3)}",0.8547237076648841,0.857397504456328,0.8538324420677362,0.8467023172905526,0.8590544157002676,0.8543420774359538,0.0042500134379453896,19
0.08668975830078125,0.007994108332621711,0.024994468688964842,0.012609194693104456,0.5,0.5,"(1, 1)","{'nb__alpha': 0.5, 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 1)}",0.8654188948306596,0.8716577540106952,0.8672014260249554,0.8636363636363636,0.8777876895628903,0.8691404256131129,0.005079691429406201,10
0.21910605430603028,0.030700709137751296,0.05066084861755371,0.010212003494323602,0.5,0.5,"(1, 2)","{'nb__alpha': 0.5, 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 2)}",0.8627450980392157,0.8761140819964349,0.8627450980392157,0.85650623885918,0.8688670829616414,0.8653955199791377,0.006633371887796023,13
