mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__alpha,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.06344408988952636,0.021308299290669873,0.01773552894592285,0.0044638172974244906,MultinomialNB(alpha=0.1),0.1,"(1, 1)","{'clf': MultinomialNB(alpha=0.1), 'clf__alpha': 0.1, 'tfidf__ngram_range': (1, 1)}",0.8672014260249554,0.8698752228163993,0.8707664884135472,0.8636363636363636,0.8786797502230151,0.8700318502228562,0.004985257258085939,2,0.9253398707376866,0.9213282817026966,0.9237798083351906,0.9237798083351906,0.9211229946524064,0.923070152752634,0.0016114826244964932
0.2617539882659912,0.09605884146914044,0.04832911491394043,0.016551958833947035,MultinomialNB(alpha=0.1),0.1,"(1, 2)","{'clf': MultinomialNB(alpha=0.1), 'clf__alpha': 0.1, 'tfidf__ngram_range': (1, 2)}",0.8761140819964349,0.8805704099821747,0.8743315508021391,0.875222816399287,0.8840321141837645,0.87805419467276,0.003679828220859901,1,0.9465121462001337,0.9433920213951416,0.9460664140851348,0.9498551370626254,0.946524064171123,0.9464699565828317,0.0020542972541851617
0.06270480155944824,0.01791571015609396,0.017525863647460938,0.0066241998175100535,MultinomialNB(alpha=0.1),1.0,"(1, 1)","{'clf': MultinomialNB(alpha=0.1), 'clf__alpha': 1.0, 'tfidf__ngram_range': (1, 1)}",0.85650623885918,0.8600713012477719,0.8591800356506238,0.8475935828877005,0.8679750223015165,0.8582652361893585,0.006562879416715995,3,0.8925785602852686,0.8861154446177847,0.8905727657677736,0.8892355694227769,0.8879233511586453,0.8892851382504497,0.002209456593818462
0.08991837501525879,0.009409675436362945,0.018799304962158203,0.002042686870748406,MultinomialNB(alpha=0.1),1.0,"(1, 2)","{'clf': MultinomialNB(alpha=0.1), 'clf__alpha': 1.0, 'tfidf__ngram_range': (1, 2)}",0.8449197860962567,0.8467023172905526,0.8467023172905526,0.838680926916221,0.8501338090990187,0.8454278313385203,0.0037728950374477546,4,0.892801426342768,0.8863383106752841,0.8930242924002675,0.8939157566302652,0.8899286987522281,0.8912016969601627,0.0027756137599489004
0.04892878532409668,0.00603891622515855,0.011793947219848633,0.001167873473365704,MultinomialNB(alpha=0.1),10.0,"(1, 1)","{'clf': MultinomialNB(alpha=0.1), 'clf__alpha': 10.0, 'tfidf__ngram_range': (1, 1)}",0.8065953654188949,0.8065953654188949,0.8065953654188949,0.8057040998217468,0.8073148974130241,0.806561018698291,0.000511112936473738,5,0.8063293960329841,0.8063293960329841,0.8063293960329841,0.8065522620904836,0.8063725490196079,0.8063825998418087,8.646182217909825e-05
0.11426472663879395,0.016004855234301046,0.022936677932739256,0.0037699678117815013,MultinomialNB(alpha=0.1),10.0,"(1, 2)","{'clf': MultinomialNB(alpha=0.1), 'clf__alpha': 10.0, 'tfidf__ngram_range': (1, 2)}",0.8065953654188949,0.8065953654188949,0.8065953654188949,0.8057040998217468,0.8064228367528992,0.8063826065662661,0.00034577127075290223,6,0.8063293960329841,0.8063293960329841,0.8063293960329841,0.8065522620904836,0.8063725490196079,0.8063825998418087,8.646182217909825e-05
